sampleid,tepname,Temperature,tepvalue,id_tematdb,dbtype,version,update
1,kappa,325.445605408727,2.79913006477235,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,373.38660110633,2.40620128890068,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,394.406883835279,2.28408213105035,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,423.909035033804,2.06429846924858,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,446.773202212661,1.9133263384528,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,473.693915181315,1.75790133581609,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,497.295636140135,1.63133476140426,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,523.847572218807,1.51585195098976,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,547.449293177627,1.42478833515782,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,573.632452366318,1.33149623767561,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,597.602950215119,1.2559638024025,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,623.417332513829,1.19151922258631,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,647.756607252612,1.12929903296079,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,673.570989551321,1.0803869975233,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,697.541487400122,1.03591965100758,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,723.355869698832,0.998102290126307,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,773.509526736324,0.951319177489334,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,823.294406883835,0.942259322163345,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,298.917016488164,0.0972243060765192,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,320.539443371481,0.141785446361591,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,344.64573590206,0.178244561140285,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,370.162221406415,0.256564141035259,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,394.265587673514,0.30787696924231,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,420.483578341393,0.425356339084772,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,444.227280224311,0.502325581395349,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,470.440748484993,0.642760690172543,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,494.182322176288,0.730532633158289,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,520.047033034854,0.841260315078769,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,544.135501960596,0.968192048012003,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,570.363601538682,1.03435858964741,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,593.738594223023,1.18289572393098,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,619.616340255276,1.22745686421605,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,642.999047634249,1.33683420855213,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,668.515799162556,1.41380345086271,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,692.25152032689,1.53128282070517,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,716.711890738642,1.57044261065266,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,740.813660862024,1.62985746436609,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,765.2716370582,1.68117029257314,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,813.849206982596,1.70142535633908,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,ZT,862.789367554654,1.68117029257314,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,302.117,8.024519999999999e-05,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,322.895,8.77739e-05,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,370.247,0.00011312,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,422.208,0.000137088,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,469.57,0.000165865,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,520.41,0.000201502,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,572.376,0.000227529,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
2,alpha,621.985,0.00023502999999999998,2,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
